Date,Open,High,Low,Close,Volume
2020-01-01,32.0,32.57203035464339,31.427969645356615,32.0,2005990.11
2020-01-02,32.0,32.57297435313164,31.0233708756712,31.588985835839157,3732729.42
2020-01-03,31.588985835839157,31.951080356104452,31.004417622962183,31.363932427424718,1450314.15
2020-01-04,31.363932427424718,33.95062680506813,30.809582637443384,33.36097969589943,3349078.11
2020-01-05,33.36097969589943,33.473741159120394,32.4715580690771,32.581685486291136,2498347.5
2020-01-06,32.581685486291136,32.72083993365551,32.00936736363561,32.14666385941843,1558599.32
2020-01-07,32.14666385941843,32.446300149168934,31.450779108938963,31.746687251114864,3954553.31
2020-01-08,31.746687251114864,32.20549701753981,30.61580834949741,31.064762801093472,3643942.29
2020-01-09,31.064762801093472,31.669589976974223,29.86472538344105,30.457733777627197,3553774.4
2020-01-10,30.457733777627197,30.77460087485227,30.082938237754686,30.399196340631214,2661237.22
2020-01-11,30.399196340631214,30.742622457415777,30.33435869065211,30.677191878033284,2198163.32
2020-01-12,30.677191878033284,30.838770776710028,29.61681402966079,29.77363382536549,2642665.27
2020-01-13,29.77363382536549,30.067919236935133,29.20573334011634,29.49728731666784,2980298.72
2020-01-14,29.49728731666784,29.922629305002562,28.638378573125713,29.057377190088033,2270281.93
2020-01-15,29.057377190088033,29.422267358656015,28.070056166946912,28.42703071288948,2098157.24
2020-01-16,28.42703071288948,29.483832746169842,27.921884696317576,28.969055002197543,2941141.96
2020-01-17,28.969055002197543,29.165479075370392,28.364350356963055,28.557987193433096,2730177.44
2020-01-18,28.557987193433096,28.892684990950734,27.50748332622721,27.833692435143973,3277229.07
2020-01-19,27.833692435143973,28.432759038628667,27.705753859436822,28.302664814389207,3804827.77
2020-01-20,28.302664814389207,29.376051441286425,27.917342280979387,28.981487179049946,3220693.34
2020-01-21,28.981487179049946,29.572927262460237,28.52583048606801,29.11516878233097,1949235.54
2020-01-22,29.11516878233097,29.442466769071945,28.285500180815024,28.60708656449993,2591566.92
2020-01-23,28.60708656449993,28.89504855196174,28.17483236213905,28.46132711946581,2864105.74
2020-01-24,28.46132711946581,28.613469438386563,27.96537448253421,28.115669058419634,3182955.01
2020-01-25,28.115669058419634,28.644616583161483,27.56447196174116,28.09299287341164,3222108.74
2020-01-26,28.09299287341164,28.845745528682656,27.730282767501407,28.478063752436572,2562545.69
2020-01-27,28.478063752436572,28.952877891542958,27.993407170349876,28.468054424142778,2299989.67
2020-01-28,28.468054424142778,28.539054802461933,28.398691168959097,28.469687568074836,3345724.58
2020-01-29,28.469687568074836,28.65541131649024,28.015295977999877,28.19925554658003,2857416.59
2020-01-30,28.19925554658003,28.863391289037587,27.89800080586522,28.558300840786725,2789560.32
2020-01-31,28.558300840786725,29.09586119271435,28.225536306104626,28.760737839347478,2180049.04
2020-02-01,28.760737839347478,29.027910664111644,27.526925336440893,27.78503436546008,4394991.58
2020-02-02,27.78503436546008,28.009291644517525,26.654246616464224,26.871127613788616,2767023.14
2020-02-03,26.871127613788616,27.14270537389432,26.437113873963636,26.707033184968683,2544176.18
2020-02-04,26.707033184968683,27.43699454381333,26.477686115269105,27.203385044671496,2767066.55
2020-02-05,27.203385044671496,27.887146636707172,27.129367848936788,27.811474900340937,2515829.76
2020-02-06,27.811474900340937,28.62598103145387,27.40905854482327,28.217687015739056,1883856.67
2020-02-07,28.217687015739056,28.665878729455343,27.694196893625833,28.141173312561556,2801572.18
2020-02-08,28.141173312561556,29.152330073293022,27.927230475442112,28.93237215911629,1808705.31
2020-02-09,28.93237215911629,29.493273683834968,27.991300100744443,28.544685686838466,2667883.42
2020-02-10,28.544685686838466,29.10885849218376,27.80473029832072,28.365358788610056,1745799.33
2020-02-11,28.365358788610056,28.712386827952134,27.281471636745053,27.61937312335355,1517301.57
2020-02-12,27.61937312335355,28.069392300688925,26.996472579353508,27.44362823882395,3030605.29
